node_id,x_um,y_um,sentaurus_holes_cm3,vela_holes_cm3,delta_log10_holes_decade,delta_psi_V,delta_phip_V,delta_phip_minus_psi_V,predicted_delta_log10_holes_decade,density_relation_residual_decade,minus_100mV_plateau
30,0.09375,0.4375,7.8156251286528144,0.1634527432004106,-1.6795715068893489,-5.164596390105913e-06,-0.09998367277303233,-0.09997850817664222,-1.6795650150367925,-6.491852556411715e-06,1
31,-0.0,0.4375,8.549930204278189,0.17883014482558057,-1.6795218411999706,-2.76802814891397e-06,-0.09997831937775814,-0.09997555134960923,-1.6795153425288636,-6.498671107024734e-06,1
32,0.09375,0.5,10.568659697734462,0.22111394916482172,-1.6794037729099975,-3.618649591086154e-06,-0.0999721408573877,-0.09996852220779662,-1.679397258143634,-6.514766363485691e-06,1
33,-0.0,0.5,11.457624078080961,0.2397320393055724,-1.6793684892755854,-2.1080903516157434e-06,-0.09996852962433644,-0.09996642153398483,-1.6793619683767969,-6.520898788497931e-06,1
34,0.1875,0.4375,5.883760879095491,0.1230136008059413,-1.6797018831448236,-1.7832074186596714e-05,-0.10000410236713186,-0.09998627029294527,-1.679695412851513,-6.470293310689712e-06,1
35,0.1875,0.5,8.173606224002993,0.17096802652118004,-1.6794988124036008,-1.1467370886641959e-05,-0.09998564810193322,-0.09997418073104658,-1.679492317150422,-6.495253178862015e-06,1
36,0.28125,0.3125,1.878986205543138,0.039261794740642696,-1.6799534435193682,-0.00013329389421157245,-0.10013454383737441,-0.10000124994316284,-1.6799470598994812,-6.383619886918268e-06,1
37,0.28125,0.375,2.5750145755238965,0.05381506714438021,-1.679875805174001,-9.698138537972412e-05,-0.10009360837072423,-0.0999966269853445,-1.679869397626266,-6.407547735065577e-06,1
38,0.375,0.3125,2.2974018397532627,0.04835742631535413,-1.67677378578166,-0.0003659821174171185,-0.1001779574802355,-0.09981197536281838,-1.6767673868959527,-6.3988857073038474e-06,1
39,0.375,0.375,2.2584391355928863,0.04740216172155365,-1.6780102432897732,-0.0002772682358984646,-0.10016284557650978,-0.09988557734061132,-1.6780038457028807,-6.397586892470386e-06,1
40,0.28125,0.4375,3.632492671081447,0.075941422201221,-1.679726020561284,-6.577835898813333e-05,-0.10005348764601729,-0.09998770928702916,-1.6797195868881556,-6.4336731284697635e-06,1
41,0.28125,0.5,5.198227865291718,0.10872011773485322,-1.679545398932657,-4.083884975392138e-05,-0.10001779475622641,-0.09997695590647249,-1.6795389380456618,-6.460886995185433e-06,1
42,0.375,0.4375,2.5524299299013027,0.053480804019864006,-1.678755900799027,-0.00019522435399066396,-0.10012518747051757,-0.09992996311652691,-1.6787494939202092,-6.406878817699635e-06,1
43,0.375,0.5,3.240579575387943,0.06785316006436021,-1.679052611943229,-0.00012348085170010847,-0.10007110504424244,-0.09994762419254233,-1.6790461869389828,-6.4250042461910795e-06,1
44,0.46875,0.0625,445.97043457210845,458.99603340627465,0.012502864136790503,-0.0011627287911259998,-0.00041807321657350016,0.0007446555745524996,0.012509663067394101,-6.798930603598222e-06,0
45,0.46875,-0.0,479.52779901044113,493.4662130097904,0.012443633447316055,-0.001194372020909995,-0.0004532419098906004,0.0007411301110193946,0.012450437886702973,-6.804439386918354e-06,0
46,0.46875,0.125,355.95312670979314,366.3806827563672,0.012539755479820445,-0.0010722943354641856,-0.00032544377002752256,0.0007468505654366631,0.012546537291310826,-6.781811490380943e-06,0
47,0.5625,0.0625,1444.9337922871491,1452.6312296577964,0.002307428764105115,-0.001789028422202854,-0.0016512653973750346,0.00013776302482781944,0.0023143169575769672,-6.888193471852287e-06,0
48,0.5625,-0.0,1468.8638566323903,1477.3276146307944,0.002495271296946925,-0.0018452244754545433,-0.0016962797811266306,0.00014894469432791269,0.002502160737650975,-6.889440704050016e-06,0
49,0.5625,0.125,1383.0263357116091,1388.7392417856122,0.001790257529043671,-0.0016272604353613218,-0.0015202829654361594,0.00010697746992516244,0.001797142397504094,-6.8848684604229035e-06,0
50,0.46875,0.1875,239.86899229906433,246.9100201218156,0.012564604217435285,-0.0009364240016576098,-0.00018809606365000064,0.0007483279380076091,0.012571356058159715,-6.75184072443033e-06,0
51,0.46875,0.25,135.51361053023618,149.90179010640549,0.043823902688931,-0.000782026834644789,0.0018270529438191296,0.0026090797784639186,0.043830611171008935,-6.70848207793423e-06,0
52,0.5625,0.1875,1308.5745240281892,1311.8481192899062,0.0010850960255373377,-0.0013689227208564247,-0.0013039212474508233,6.500147340560147e-05,0.00109197669228074,-6.880666743402366e-06,0
53,0.5625,0.25,1245.7479328042716,1247.1058993652782,0.0004731584618237145,-0.0010958731446808478,-0.0010672983518102974,2.8574792870550425e-05,0.00048003539253161026,-6.8769307078957414e-06,0
54,0.65625,0.0625,2051.3910221589167,2056.108975012047,0.0009976782921471336,-0.002652306673421201,-0.0025925068334538004,5.979983996740046e-05,0.0010045930965142146,-6.91480436708098e-06,0
55,0.65625,-0.0,2070.550241049394,2075.952026883994,0.0011315402505177464,-0.002748400961255726,-0.002680632754862522,6.776820639320391e-05,0.0011384557607992973,-6.915510281550871e-06,0
56,0.65625,0.125,2003.3161362708381,2006.4080341762347,0.0006697689955626045,-0.002398950214369311,-0.0023586697511639443,4.02804632053666e-05,0.0006766819991920655,-6.9130036294609825e-06,0
57,0.75,0.0625,2455.9584959359518,2455.826763411684,-2.3295280786714717e-05,-0.003868866537370952,-0.0038698407779380606,-9.742405671087084e-07,-1.6366521191278153e-05,-6.928759595436564e-06,0
