model,VBE_V,VCE_V,sentaurus_Ic_A_per_um,vela_Ic_A_per_um,Ic_magnitude_ratio_vela_over_sentaurus,Ic_absolute_log10_error,sentaurus_Ib_A_per_um,vela_Ib_A_per_um,Ib_magnitude_ratio_vela_over_sentaurus,Ib_absolute_log10_error,sentaurus_Ie_A_per_um,vela_Ie_A_per_um,Ie_magnitude_ratio_vela_over_sentaurus,Ie_absolute_log10_error,sentaurus_beta_abs,vela_beta_abs,beta_magnitude_ratio_vela_over_sentaurus,beta_absolute_log10_error,sentaurus_kcl_abs_A_per_um,sentaurus_kcl_relative,vela_kcl_abs_A_per_um,vela_kcl_relative,vela_converged
M1,0.7,2.0,2.73688095358688e-06,2.715341320901282e-06,0.9921298613089587,0.003431478693884442,6.02744832820165e-08,5.998413632679896e-08,0.9951829208745093,0.002097085862263413,-2.79715543686892e-06,-2.77532545714653e-06,0.9921956501113053,0.003402681287736958,45.40695837708585,45.267657203695634,0.996932162418073,0.0013343928316210715,2.3399285167900047e-20,8.365386084547643e-15,8.155083661909654e-17,2.9384242633274296e-11,1
M1,0.7,2.1,2.74405729073076e-06,2.722466563987338e-06,0.9921318236261488,0.0034306197108845042,6.02653615284703e-08,5.99749831192098e-08,0.9951816698366055,0.0020976318113431138,-2.80432265225926e-06,-2.7824415471304108e-06,0.9921973653383925,0.00340193051543187,45.53291013502714,45.39336940830819,0.996935387474573,0.0013329878995413668,2.965938804370136e-20,1.0576310832067318e-14,2.386279747850536e-17,8.576208008076775e-12,1
M1,0.7,2.2,2.75119062342157e-06,2.729549304105746e-06,0.9921338350270658,0.003429739243780404,6.02563635357971e-08,5.996595436475448e-08,0.9951804398074886,0.0020981685929221633,-2.81144698695739e-06,-2.7895152558650672e-06,0.9921991304854523,0.0034011578940032327,45.65809255626823,45.51831673523841,0.9969386408147128,0.001331570650858208,2.310811759228138e-20,8.219296931253715e-15,2.6054333763870293e-15,9.340093662900756e-10,1
M1,0.7,2.3,2.75829221472409e-06,2.7366007211754385e-06,0.9921358971928863,0.0034288365567897274,6.02474733615582e-08,5.995703367660957e-08,0.9951792221525102,0.0020986999751121155,-2.81853968808568e-06,-2.7965577547861367e-06,0.9922009495227391,0.0034003616857547127,45.78270358610689,45.64269700091985,0.9969419327776544,0.0013301365816776433,3.171079596283287e-20,1.1250789228506652e-14,6.591136586478095e-17,2.3568748312806233e-11,1
M1,0.7,2.4,2.76537040034415e-06,2.7436291157233946e-06,0.9921380207808511,0.003427906984993617,6.02386789921798e-08,5.994820929374156e-08,0.995178020114353,0.0020992245427903567,-2.82560907933636e-06,-2.803577324593571e-06,0.9922028298592659,0.0033995386478365207,45.906889835734134,45.766656719966825,0.9969452708238546,0.0013286824422032732,3.0135844076531904e-20,1.066525596088819e-14,4.235651118471683e-16,1.510802317209395e-10,1
M1,0.7,2.5,2.77243064118062e-06,2.750639920512259e-06,0.9921402107072798,0.0034269483765196227,6.02299721608969e-08,5.993947276354759e-08,0.9951768299581266,0.0020997439258357343,-2.83266061334155e-06,-2.810579393267833e-06,0.992204777385008,0.003398686202320711,46.03074751179389,45.890292218003474,0.9969486636350099,0.0013272044506838657,3.3179868730727046e-20,1.1713323006100046e-14,7.973782876994772e-18,2.8370601791553492e-12,1
M1,0.7,2.6,2.77947607516649e-06,2.757636256694235e-06,0.9921424693425551,0.003425959693962862,6.02213475506986e-08,5.993081871708022e-08,0.9951756504058002,0.002100258681962111,-2.83969742271721e-06,-2.8175670738461103e-06,0.9922067933385931,0.003397803807226181,46.15433211331796,46.01365901094075,0.9969521148733811,0.0013257010120007557,2.1374347028370235e-20,7.526980465375726e-15,1.5652047473046644e-15,5.555164105350249e-10,1
M1,0.7,2.7,2.78650831173554e-06,2.764619710362582e-06,0.9921447923622647,0.0034249428304666337,6.02128017066173e-08,5.992224369696643e-08,0.995174481149929,0.00210076894532207,-2.84672111344219e-06,-2.824541949933218e-06,0.992208873779647,0.0033968931874557417,46.27767240117157,46.13678560408347,0.9969556205016799,0.0013241738851445365,3.3100459391921955e-20,1.1627573644506974e-14,4.12633055813976e-15,1.460884855414281e-09,1
M1,0.7,2.8,2.79352816863911e-06,2.7715910652683836e-06,0.9921471694407816,0.0034239023060853237,6.02043320489333e-08,5.9913745076605e-08,0.9951733212139598,0.002101275142068358,-2.85373250068809e-06,-2.831504810539786e-06,0.9922110113183543,0.003395957577736814,46.40078335838967,46.259686516418896,0.9969591711225871,0.0013226271640169888,4.6282409633567004e-20,1.621820181898879e-14,1.9479731525220398e-16,6.879639212587764e-11,1
M1,0.7,2.9,2.80053612608798e-06,2.778550791687314e-06,0.9921495980016595,0.003422839248779059,6.01959362661187e-08,5.99053206168515e-08,0.9951721716233064,0.0021017768246948537,-2.86073206235414e-06,-2.8384561081738675e-06,0.9922131979875315,0.0033950004654894014,46.523674184701775,46.38237076567289,0.9969627631199569,0.0013210624240841838,4.1014923492829324e-20,1.433721250324909e-14,4.1302981266391485e-15,1.4551213650072583e-09,1
M1,0.7,3.0,2.80753243397542e-06,2.7854991093204845e-06,0.9921520676348032,0.003421758215521629,6.01876121735591e-08,5.989696804305126e-08,0.995171030715262,0.0021022747187941708,-2.86772004614901e-06,-2.8453960723037295e-06,0.9922154277662986,0.003394024486205655,46.64635018049099,46.50484323878285,0.9969663876989174,0.0013194834967274777,3.1234339930002325e-20,1.0891697734563087e-14,5.059806261686016e-15,1.7782432157465603e-09,1
