id,mesh,branch,bias_V,contact,component,reference_delta_dex,candidate_delta_dex,error_dex,pass
P1,M0,forward,0.32,Anode,total,0.2553578643376331,0.25535766154765294,2.0278998014156002e-07,True
P1,M0,forward,0.32,Anode,electron,0.2898047684270628,0.2898047957496693,2.7322606455104648e-08,True
P1,M0,forward,0.32,Anode,hole,0.16644280936174333,0.1664422956996089,5.136621344381531e-07,True
P1,M0,forward,0.32,Cathode,total,0.2553578643376299,0.2553576606091116,2.037285183331683e-07,True
P1,M0,forward,0.32,Cathode,electron,0.2883313546234153,0.28833102657985643,3.2804355887261494e-07,True
P1,M0,forward,0.32,Cathode,hole,0.16864396662262818,0.1686439795032222,1.288059403581343e-08,True
P1,M0,forward,0.34,Anode,total,0.2556369108213151,0.25563678612211144,1.2469920368518572e-07,True
P1,M0,forward,0.34,Anode,electron,0.2898048326147208,0.28980487127086973,3.8656148948490454e-08,True
P1,M0,forward,0.34,Anode,hole,0.1670925624958662,0.16709221137489536,3.5112097085399085e-07,True
P1,M0,forward,0.34,Cathode,total,0.2556369108213166,0.2556367851908718,1.2563044482494234e-07,True
P1,M0,forward,0.34,Cathode,electron,0.28876877269497936,0.28876856327014055,2.0942483880403984e-07,True
P1,M0,forward,0.34,Cathode,hole,0.1686440266928477,0.16864404486233467,1.816948697053178e-08,True
P1,M0,forward,0.36,Anode,total,0.25583108818189726,0.25583102457184487,6.36100523920824e-08,True
P1,M0,forward,0.36,Anode,electron,0.28980492208929004,0.28980497674385497,5.4654564929368377e-08,True
P1,M0,forward,0.36,Anode,hole,0.16754680512097817,0.16754657162019038,2.335007877884987e-07,True
P1,M0,forward,0.36,Cathode,total,0.25583108818190203,0.25583102364566446,6.453623757618487e-08,True
P1,M0,forward,0.36,Cathode,electron,0.28907336354908036,0.2890732451163735,1.1843270686373586e-07,True
P1,M0,forward,0.36,Cathode,hole,0.1686441040861028,0.16864412905257195,2.4966469142073677e-08,True
P1,M0,forward,0.38,Anode,total,0.25596631672442344,0.25596630544925003,1.1275173406044559e-08,True
P1,M0,forward,0.38,Anode,electron,0.289805047235721,0.28980512463631275,7.740059176919445e-08,True
P1,M0,forward,0.38,Anode,hole,0.16786411434166296,0.16786396897810094,1.4536356202077272e-07,True
P1,M0,forward,0.38,Cathode,total,0.25596631672442194,0.2559663045266444,1.219777756578111e-08,True
P1,M0,forward,0.38,Cathode,electron,0.2892855689379259,0.289285525611494,4.3326431886647754e-08,True
P1,M0,forward,0.38,Cathode,hole,0.16864420445776696,0.16864423974755494,3.5289787980730125e-08,True
P1,M0,forward,0.4,Anode,total,0.256060627182864,0.25606066597325866,3.8790394674137474e-08,True
P1,M0,forward,0.4,Anode,electron,0.28980522295294725,0.2898053325970839,1.0964413665881523e-07,True
P1,M0,forward,0.4,Anode,hole,0.16808579797084064,0.16808572145140416,7.651943648157022e-08,True
P1,M0,forward,0.4,Cathode,total,0.2560606271828683,0.2560606650532296,3.7870361291325594e-08,True
P1,M0,forward,0.4,Cathode,electron,0.289433578887998,0.2894336043456112,2.545761323968776e-08,True
P1,M0,forward,0.4,Cathode,hole,0.16864433818626703,0.16864438779953497,4.96132679383976e-08,True
P1,M0,forward,0.42,Anode,total,0.25612654621046527,0.2561266391547328,9.294426756012442e-08,True
P1,M0,forward,0.42,Anode,electron,0.28980547026798165,0.28980562560157086,1.5533358921349105e-07,True
P1,M0,forward,0.42,Anode,hole,0.16824081599863144,0.16824079781110032,1.818753112003968e-08,True
P1,M0,forward,0.42,Cathode,total,0.25612654621046194,0.2561266382366069,9.202614498216022e-08,True
P1,M0,forward,0.42,Cathode,electron,0.28953700371209967,0.2895371003607062,9.664860650682172e-08,True
P1,M0,forward,0.42,Cathode,hole,0.1686445187670664,0.16864458855465875,6.978759234388399e-08,True
P1,M0,forward,0.44,Anode,total,0.2561727768697598,0.2561729349005954,1.5803083558418862e-07,True
