id,mesh,branch,bias_V,contact,component,reference_A_per_um,candidate_A_per_um,absolute_error_A_per_um,relative_error,log_error_dex,pass
P0,original,forward,0.1,Cathode,electron,-2.81217368595608e-17,-2.810879448242517e-17,1.2942377135628338e-20,0.0004602268060561914,0.00019991997008834975,True
P0,original,forward,0.1,Cathode,hole,-9.08110759112854e-18,-9.076417831003452e-18,4.689760125087938e-21,0.0005164304109412192,0.00022434081095464953,True
P0,original,forward,0.12,Anode,total,7.67919430940142e-17,7.676451199175143e-17,2.743110226277457e-20,0.00035721328511236454,0.00015516347346410846,True
P0,original,forward,0.12,Anode,electron,4.53199781758284e-17,4.530630932982854e-17,1.3668845999858956e-20,0.00030160751505280494,0.000131006236714,True
P0,original,forward,0.12,Anode,hole,3.14719649181858e-17,3.145820266192288e-17,1.3762256262921777e-20,0.0004372862100824654,0.00018995252288814453,True
P0,original,forward,0.12,Cathode,total,-7.6791943094014e-17,-7.67544391980917e-17,3.750389592229703e-20,0.000488383213280359,0.00021215394501244403,True
P0,original,forward,0.12,Cathode,electron,-5.6902405077936e-17,-5.687528816550333e-17,2.711691243266914e-20,0.00047655125289570175,0.00020701290952605402,True
P0,original,forward,0.12,Cathode,hole,-1.9889538016078e-17,-1.9879151032588367e-17,1.038698348963405e-20,0.0005222335220273884,0.00022686237960848214,True
P0,original,forward,0.14,Anode,total,1.59715587817934e-16,1.5965968601343363e-16,5.59018045003817e-20,0.0003500084447869067,0.00015203334422004476,True
P0,original,forward,0.14,Anode,electron,9.86451168863743e-17,9.861714823546468e-17,2.7968650909622085e-20,0.00028352798184463755,0.00012315209733820321,True
P0,original,forward,0.14,Anode,hole,6.10704709315599e-17,6.104253777796893e-17,2.793315359096916e-20,0.00045739214328759835,0.00019868832660017676,True
P0,original,forward,0.14,Cathode,total,-1.59715587817934e-16,-1.5963566081180935e-16,7.992700612466346e-20,0.0005004333466547758,0.00021738984011307783,True
P0,original,forward,0.14,Cathode,electron,-1.16423298181066e-16,-1.1636617735606955e-16,5.712082499644981e-20,0.0004906305343421323,0.00021313042214091523,True
P0,original,forward,0.14,Cathode,hole,-4.32922896368673e-17,-4.3269483455739807e-17,2.280618112749258e-20,0.0005267954483070596,0.0002288446387422041,True
P0,original,forward,0.16,Anode,total,3.35106182280131e-16,3.349856799454862e-16,1.2050233464479315e-19,0.0003595944838285902,0.00015619798570007618,True
P0,original,forward,0.16,Anode,electron,2.14105006945042e-16,2.1404202893399515e-16,6.297801104684944e-20,0.00029414543800470336,0.00012776453220091416,True
P0,original,forward,0.16,Anode,hole,1.21001175335089e-16,1.20943651011491e-16,5.752432359801767e-20,0.000475403015208037,0.00020651399876425394,True
P0,original,forward,0.16,Cathode,total,-3.35106182280131e-16,-3.3493532357732804e-16,1.7085870280294903e-19,0.0005098643708701269,0.00022148775194401807,True
P0,original,forward,0.16,Cathode,electron,-2.41142129842208e-16,-2.4102100834386244e-16,1.2112149834557646e-19,0.0005022826099480527,0.00021819336781195596,True
P0,original,forward,0.16,Cathode,hole,-9.39640524379235e-17,-9.391431523346559e-17,4.973720445791491e-20,0.0005293216199968955,0.00022994232080782132,True
P0,original,forward,0.18,Anode,total,7.08666213423071e-16,7.084036874425259e-16,2.625259805450996e-19,0.0003704508209542263,0.00016091455466196847,True
P0,original,forward,0.18,Anode,electron,4.64095490558585e-16,4.639529848827014e-16,1.4250567588358023e-19,0.00030706110872152735,0.00013337542337563913,True
P0,original,forward,0.18,Anode,hole,2.44570722864486e-16,2.4445070255982443e-16,1.2002030466156868e-19,0.0004907386430225774,0.00021317739619372523,True
P0,original,forward,0.18,Cathode,total,-7.08666213423073e-16,-7.082996194691296e-16,3.6659395394338746e-19,0.0005173013006682333,0.0002247192291488759,True
P0,original,forward,0.18,Cathode,electron,-5.04989107554285e-16,-5.047307286501462e-16,2.583789041388103e-19,0.000511652430267588,0.00022226469310291096,True
P0,original,forward,0.18,Cathode,hole,-2.03677105868788e-16,-2.0356889081898344e-16,1.0821504980455253e-19,0.0005313068905950892,0.00023080497034907462,True
P0,original,forward,0.2,Anode,total,1.50823919180649e-15,1.5076685597294264e-15,5.706320770636759e-19,0.0003783432231198041,0.0001643434651453362,True
P0,original,forward,0.2,Anode,electron,1.0053580585089e-15,1.005040514004395e-15,3.1754450450504816e-19,0.00031585215020409275,0.00013719451366275338,True
P0,original,forward,0.2,Anode,hole,5.02881133297583e-16,5.026280457250315e-16,2.53087572551528e-19,0.0005032751395780876,0.0002186246347853312,True
P0,original,forward,0.2,Cathode,total,-1.50823919180648e-15,-1.5074501168714278e-15,7.890749350522217e-19,0.0005231762570147208,0.00022727201833152585,True
P0,original,forward,0.2,Cathode,electron,-1.06701879554626e-15,-1.066464951302034e-15,5.538442442261665e-19,0.0005190576272301052,0.000225482387536161,True
P0,original,forward,0.2,Cathode,hole,-4.41220396260227e-16,-4.409851655693938e-16,2.352306908332043e-19,0.0005331364842310413,0.0002315999758884729,True
P0,original,forward,0.22,Anode,total,3.22559792347168e-15,3.224360469331766e-15,1.2374541399140872e-18,0.00038363558300602677,0.00016664278385623702,True
P0,original,forward,0.22,Anode,electron,2.17724024610421e-15,2.1765408370335445e-15,6.994090706653508e-19,0.000321236515775795,0.00013953365904057006,True
P0,original,forward,0.22,Anode,hole,1.04835767736747e-15,1.0478196322982212e-15,5.380450692487364e-19,0.000513226621852783,0.00022294870633723801,True
P0,original,forward,0.22,Cathode,total,-3.22559792347168e-15,-3.2238953648061132e-15,1.7025586655667785e-18,0.0005278273070483413,0.00022929300572868528,True
P0,original,forward,0.22,Cathode,electron,-2.2700749867636e-15,-2.268883489373956e-15,1.1914973896439329e-18,0.0005248713793999495,0.00022800858660890615,True
P0,original,forward,0.22,Cathode,hole,-9.55522936708081e-16,-9.55011875432157e-16,5.110612759240289e-19,0.0005348498254628102,0.00023234446808478884,True
P0,original,forward,0.24,Anode,total,6.92314457570837e-15,6.9204632420334545e-15,2.6813336749156596e-18,0.0003872999683299706,0.00016823481986057655,True
P0,original,forward,0.24,Anode,electron,4.71441696623162e-15,4.7128864070989575e-15,1.5305591326621716e-18,0.0003246550196185967,0.00014101877600814253,True
P0,original,forward,0.24,Anode,hole,2.20872760947675e-15,2.2075768349344974e-15,1.1507745422526991e-18,0.0005210124314628904,0.00022633178994663436,True
P0,original,forward,0.24,Cathode,total,-6.92314457570838e-15,-6.9194645792481175e-15,3.679996460262092e-18,0.000531549849930088,0.00023091054235154225,True
P0,original,forward,0.24,Cathode,electron,-4.85413401144734e-15,-4.851564005220797e-15,2.570006226543378e-18,0.0005294469045318113,0.00022999676000928253,True
P0,original,forward,0.24,Cathode,hole,-2.06901056426104e-15,-2.0679005740273213e-15,1.1099902337187137e-18,0.0005364835989202179,0.00023305438716204023,True
P0,original,forward,0.26,Anode,total,1.48974756943545e-14,1.488951223345798e-14,7.963460896520306e-18,0.0005345510246100361,0.00023221463109937015,True
P0,original,forward,0.26,Anode,electron,1.02073925193256e-14,1.0201900938616373e-14,5.491580709227495e-18,0.0005380003462030402,0.00023371345621694842,True
P0,original,forward,0.26,Anode,hole,4.69008317502892e-15,4.6876112948416064e-15,2.4718801873133214e-18,0.0005270439979559807,0.00022895263939090417,True
P0,original,forward,0.26,Cathode,total,-1.48974756943545e-14,-1.488951200651373e-14,7.963687840768152e-18,0.000534566258348456,0.00023222125056638146,True
P0,original,forward,0.26,Cathode,electron,-1.04177699773785e-14,-1.0412216449723951e-14,5.5535276545497014e-18,0.0005330821919286776,0.00023157638446435675,True
P0,original,forward,0.26,Cathode,hole,-4.47970571697594e-15,-4.47729555678978e-15,2.410160186160075e-18,0.000538017525800126,0.00023372092123740852,True
P0,original,forward,0.28,Anode,total,3.21152541175451e-14,3.2098006958012666e-14,1.724715953243243e-17,0.0005370394850156275,0.0002332959350794618,True
P0,original,forward,0.28,Anode,electron,2.20993719460293e-14,2.208745047804932e-14,1.192146797998058e-17,0.0005394482707062889,0.00023434262078518897,True
