id,mesh,branch,bias_V,vela_kcl_A_per_um,sentaurus_kcl_A_per_um,electron_continuity_ratio,hole_continuity_ratio,continuity_pass,electron_source_ratio_qualified,electron_port_net_A_per_um,electron_port_net_over_through_current,hole_source_ratio_qualified,hole_port_net_A_per_um,hole_port_net_over_through_current,converged,pass
P0,original,reverse,-0.6,5.193632169869726e-28,1.0014835710813626e-32,9.525746471146541e-11,3.895842382764495e-15,True,True,5.4519443472963536e-18,0.9229257441956313,True,-5.45194434677699e-18,0.9646453424862677,True,True
P0,original,reverse,-0.7,5.26697928587177e-28,0.0,8.586632672255113e-11,2.374490535089988e-15,True,True,6.1337425923239424e-18,0.9306579762652331,True,-6.133742591797243e-18,0.9683357706271621,True,True
P0,original,reverse,-0.8,5.339463585258728e-28,4.0059342843254506e-32,7.842264983084511e-11,4.9916440376171644e-15,True,True,6.808150804423804e-18,0.9368783280113212,True,-6.808150803889859e-18,0.9712805137375943,True,True
P0,original,reverse,-0.9,5.411477957739255e-28,9.244463733058732e-33,7.261479421070136e-11,1.6286310223739585e-16,True,True,7.452329354057072e-18,0.9418225857198547,True,-7.452329353515926e-18,0.9736059894196453,True,True
P0,original,reverse,-1.0,5.4832920335055666e-28,9.244463733058732e-33,6.790521741786417e-11,1.3527863948218615e-15,True,True,8.07473030422949e-18,0.9458863532514384,True,-8.07473030368116e-18,0.9755073726111808,True,True
P0,M0,forward,0.0,2.098344695223306e-36,4.0178029569121155e-40,3.345951608998176e-14,2.2926569934191387e-15,True,False,1.963892840233571e-36,1.963892840233571e-14,False,1.3445185498973456e-37,1.3445185498973456e-15,True,True
P0,M0,forward,0.02,5.915003376495407e-25,1.0014835710813626e-32,1.3261143499057812e-06,3.5716137153963744e-07,True,True,-6.104522802644252e-19,0.5411961136346426,True,6.104528717647626e-19,0.7288338371579299,True,True
P0,M0,forward,0.04,1.8704272780621596e-25,1.0014835710813626e-32,1.6584808106458475e-07,3.9831110675528307e-08,True,True,-1.4842659849035568e-18,0.4754361940859535,True,1.4842661719462846e-18,0.6737553431290759,True,True
P0,M0,forward,0.06,5.760700793297943e-24,3.0814879110195774e-32,2.5914242437675552e-06,5.034675460466074e-07,True,True,-2.7590063908987615e-18,0.4044500911656441,True,2.7590121515995563e-18,0.6074485776033821,True,True
P0,M0,forward,0.08,1.068269863500293e-22,0.0,2.7660242436664137e-05,4.631275279545011e-06,True,True,-4.6386809615374024e-18,0.33247874806245714,True,4.638787788523755e-18,0.5316053388072101,True,True
