pair,id,branch,bias_V,contact,component,tool,relative_error,absolute_error_A_per_um,pass
M0/M1,P0,forward,0.16,Anode,total,candidate,0.0069583166533799656,2.314847455110656e-18,True
M0/M1,P0,forward,0.16,Anode,electron,reference,0.0002662884013609045,5.699850200100782e-20,True
M0/M1,P0,forward,0.16,Anode,electron,candidate,0.00032088415125457783,6.866151374219712e-20,True
M0/M1,P0,forward,0.16,Anode,hole,reference,0.018911948783517287,2.2458937850700065e-18,True
M0/M1,P0,forward,0.16,Anode,hole,candidate,0.018923621831700384,2.2461859413685083e-18,True
M0/M1,P0,forward,0.16,Cathode,total,reference,0.006919680069894049,2.3028922870759693e-18,True
M0/M1,P0,forward,0.16,Cathode,total,candidate,0.006930248580040662,2.305209375791382e-18,True
M0/M1,P0,forward,0.16,Cathode,electron,reference,0.009536251022171146,2.2778695439740045e-18,True
M0/M1,P0,forward,0.16,Cathode,electron,candidate,0.009547220576660085,2.2793195624930914e-18,True
M0/M1,P0,forward,0.16,Cathode,hole,reference,0.000266372170774156,2.5022743102297628e-20,True
M0/M1,P0,forward,0.16,Cathode,hole,candidate,0.0002757508519547701,2.5889813298303025e-20,True
M0/M1,P0,forward,0.18,Anode,total,reference,0.004819395631441186,3.398961901312954e-18,True
M0/M1,P0,forward,0.18,Anode,total,candidate,0.004837149531830108,3.4102491069793253e-18,True
M0/M1,P0,forward,0.18,Anode,electron,reference,0.0002672077517155851,1.2397678509398004e-19,True
M0/M1,P0,forward,0.18,Anode,electron,candidate,0.00028963205002954275,1.3434215878252585e-19,True
M0/M1,P0,forward,0.18,Anode,hole,reference,0.013572494798155931,3.274985116218974e-18,True
M0/M1,P0,forward,0.18,Anode,hole,candidate,0.013583123144725035,3.275906948196701e-18,True
M0/M1,P0,forward,0.18,Cathode,total,reference,0.004819395631424194,3.3989619013010225e-18,True
M0/M1,P0,forward,0.18,Cathode,total,candidate,0.004829074084881678,3.4039932001060534e-18,True
M0/M1,P0,forward,0.18,Cathode,electron,reference,0.006667139637334688,3.3445344136900215e-18,True
M0/M1,P0,forward,0.18,Cathode,electron,candidate,0.006677068820421218,3.3477685283826954e-18,True
M0/M1,P0,forward,0.18,Cathode,hole,reference,0.0002672958062907386,5.442748761100105e-20,True
M0/M1,P0,forward,0.18,Cathode,hole,candidate,0.00027627111760539913,5.622467172335806e-20,True
M0/M1,P0,forward,0.2,Anode,total,reference,0.003340000018543618,5.02074961383e-18,True
M0/M1,P0,forward,0.2,Anode,total,candidate,0.0033462258994160785,5.028321914012733e-18,True
M0/M1,P0,forward,0.2,Anode,electron,reference,0.00026810806185997675,2.694723529399572e-19,True
M0/M1,P0,forward,0.2,Anode,electron,candidate,0.00027339536626934353,2.7471042588415373e-19,True
M0/M1,P0,forward,0.2,Anode,hole,reference,0.009538230319817162,4.7512772608859995e-18,True
M0/M1,P0,forward,0.2,Anode,hole,candidate,0.009547811980774402,4.7536114881284804e-18,True
M0/M1,P0,forward,0.2,Cathode,total,reference,0.0033400000185503536,5.0207496138400576e-18,True
M0/M1,P0,forward,0.2,Cathode,total,candidate,0.0033487891334434937,5.031283859984733e-18,True
M0/M1,P0,forward,0.2,Cathode,electron,reference,0.004615737672369932,4.902450421430098e-18,True
M0/M1,P0,forward,0.2,Cathode,electron,candidate,0.004624709821160705,4.9093864439042065e-18,True
M0/M1,P0,forward,0.2,Cathode,hole,reference,0.0002681900489202168,1.1829919241296706e-19,True
M0/M1,P0,forward,0.2,Cathode,hole,candidate,0.00027649710213130315,1.2189741608052678e-19,True
M0/M1,P0,forward,0.22,Anode,total,reference,0.0023216183802302346,7.471262014640184e-18,True
M0/M1,P0,forward,0.22,Anode,total,candidate,0.002325110021784876,7.47981394556267e-18,True
M0/M1,P0,forward,0.22,Anode,electron,reference,0.00026899133954459605,5.855012760301391e-19,True
M0/M1,P0,forward,0.22,Anode,electron,candidate,0.0002705373631408159,5.887010779446175e-19,True
M0/M1,P0,forward,0.22,Anode,hole,reference,0.00661156639890121,6.885760738609848e-18,True
M0/M1,P0,forward,0.22,Anode,hole,candidate,0.006620159539281318,6.891112867618645e-18,True
M0/M1,P0,forward,0.22,Cathode,total,reference,0.002321618380233306,7.471262014650045e-18,True
M0/M1,P0,forward,0.22,Cathode,total,candidate,0.0023295959724964417,7.492918182745226e-18,True
M0/M1,P0,forward,0.22,Cathode,electron,reference,0.0031880976401571937,7.21422106241026e-18,True
M0/M1,P0,forward,0.22,Cathode,electron,candidate,0.0031962087312638826,7.228720714801613e-18,True
M0/M1,P0,forward,0.22,Cathode,hole,reference,0.0002690779102631832,2.5704095224294115e-19,True
M0/M1,P0,forward,0.22,Cathode,hole,candidate,0.0002767196758271921,2.641974679430218e-19,True
M0/M1,P0,forward,0.24,Anode,total,reference,0.0016319873433547243,1.128007537398046e-17,True
M0/M1,P0,forward,0.24,Anode,total,candidate,0.0016353461694179926,1.1299182840553378e-17,True
M0/M1,P0,forward,0.24,Anode,electron,reference,0.00026986267967797845,1.271901957419272e-18,True
M0/M1,P0,forward,0.24,Anode,electron,candidate,0.00027152676416175895,1.2793785268038434e-18,True
M0/M1,P0,forward,0.24,Anode,hole,reference,0.004551819249985989,1.0008173416560005e-17,True
M0/M1,P0,forward,0.24,Anode,hole,candidate,0.004559519582032683,1.001980431374914e-17,True
M0/M1,P0,forward,0.24,Cathode,total,reference,0.0016319873433632934,1.1280075374039625e-17,True
M0/M1,P0,forward,0.24,Cathode,total,candidate,0.0016392329762503217,1.1324051752925071e-17,True
M0/M1,P0,forward,0.24,Cathode,electron,reference,0.002213663030780876,1.072168280430033e-17,True
M0/M1,P0,forward,0.24,Cathode,electron,candidate,0.002221003178913313,1.0751460045509544e-17,True
M0/M1,P0,forward,0.24,Cathode,hole,reference,0.0002699567230452947,5.583925697400833e-19,True
M0/M1,P0,forward,0.24,Cathode,hole,candidate,0.0002769718749574443,5.72591707415133e-19,True
M0/M1,P0,forward,0.26,Anode,total,reference,0.0011704064703460144,1.7415718474101003e-17,True
M0/M1,P0,forward,0.26,Anode,total,candidate,0.0011769893279756961,1.7504194933128283e-17,True
M0/M1,P0,forward,0.26,Anode,electron,reference,0.0002707247858927079,2.7626462394002597e-18,True
