stage,gate_V,drain_V,vela_A_per_m,sentaurus_A_per_m
D4,4,14.6666666666667,139.41307086561847,136.889703152289
D4,4,16.0,139.81955622789016,137.30342700147997
D4,4,17.3333333333333,140.19436800018326,137.67707897041998
D4,4,18.6666666666667,140.5402791324075,138.014743356584
D4,4,20.0,140.85637454316506,138.320389145329
D4,4,21.3333333333333,141.14752312015466,138.601327227239
D4,4,22.6666666666667,141.4166219011547,138.86060233106198
D4,4,24.0,141.66687701570015,139.100685434311
D4,4,25.3333333333333,141.90161259419258,139.325025891918
D4,4,26.6666666666667,142.12251492400358,139.535779748127
D4,4,28.0,142.3305220555136,139.734284831572
D4,4,29.3333333333333,142.52738816979024,139.92212549477702
D4,4,30.6666666666667,142.71368842136033,140.099803705701
D4,4,32.0,142.89042216521344,140.267780336881
D4,4,33.3333333333333,143.0577051787942,140.426495741547
D4,4,34.6666666666667,143.21610127147608,140.576414739936
D4,4,36.0,143.36614573032233,140.71849925496002
D4,4,37.3333333333333,143.50862261509076,140.85388086509602
D4,4,38.6666666666667,143.64502118308002,140.983322710073
D4,4,40.0,143.77602029330998,141.106619595945
D4,8,0.0,0.0,1.06806148873126e-13
D4,8,1.33333333333333,73.15410456369817,72.4144381132965
D4,8,2.66666666666667,126.06138605282544,124.52457038101899
D4,8,4.0,163.4256324028755,161.13846210790402
D4,8,5.33333333333333,191.017828672612,188.058507098185
D4,8,6.66666666666667,212.63580766165998,209.127610762133
D4,8,8.0,230.27303503417644,226.34593123705199
D4,8,9.33333333333333,245.06293172803927,240.800439221805
D4,8,10.6666666666667,257.70476207119845,253.176361947816
D4,8,12.0,268.66192904723516,263.915111893356
D4,8,13.3333333333333,278.3239721867122,273.39856853407304
D4,8,14.6666666666667,286.9162207362586,281.850408352186
D4,8,16.0,294.6027214440422,289.407729085997
D4,8,17.3333333333333,301.50502526225216,296.213183652516
D4,8,18.6666666666667,307.720325556582,302.354429230387
D4,8,20.0,313.3334949721093,307.90765562893097
D4,8,21.3333333333333,318.4187553680066,312.941637458051
D4,8,22.6666666666667,323.0445734614426,317.51863527461
D4,8,24.0,327.26056594455747,321.69801953948803
D4,8,25.3333333333333,331.10353469591075,325.525848723414
D4,8,26.6666666666667,334.6138641120549,329.027528176118
D4,8,28.0,337.8187352378553,332.227049674478
D4,8,29.3333333333333,340.7425865407364,335.151105723355
D4,8,30.6666666666667,343.42427182281244,337.83999513684097
D4,8,32.0,345.89654606131626,340.307409452739
D4,8,33.3333333333333,348.1622765963505,342.577346928884
D4,8,34.6666666666667,350.2457628061765,344.674423200454
D4,8,36.0,352.16894913790685,346.605193676888
D4,8,37.3333333333333,353.9351112648709,348.380608347666
D4,8,38.6666666666667,355.55813556100304,350.013020403204
D4,8,40.0,357.0557512503508,351.51959588828197
