gate_V,drain_V,vela_A_per_m,sentaurus_A_per_m,vela_peak_K,sentaurus_peak_K,relative_error_percent
4,37.333333333333336,119.13079413583915,119.125815401859,394.91718935528667,394.91609776806087,0.004179391312764125
4,38.666666666666664,118.6429368853558,118.63667856935899,398.02829752643964,398.02601508041965,0.005275194882625733
4,40.0,118.15838188057046,118.15089299788201,401.1158712029936,401.11235705361776,0.006338405490158294
8,0.0,0.0,-5.18072343651405e-13,300.0,300.00000000000006,
8,1.3333333333333333,72.01979215835904,72.01601899428931,301.72576439592166,301.7259677429441,0.005239339972429313
8,2.6666666666666665,122.5153507837089,122.506599034361,305.83235609161034,305.83260508775874,0.007143900342421183
8,4.0,156.58018057273947,156.569403999083,311.5268357440959,311.5269489871158,0.006882937139196521
8,5.333333333333333,180.23102617660987,180.220513347827,318.07590786095665,318.076002005598,0.005833314192482675
8,6.666666666666667,197.46634066295576,197.45747124848,325.1733464804021,325.1736202641324,0.004491810018469877
8,8.0,210.430200767741,210.42368397363802,332.64039195418087,332.64109053885255,0.003096986983552874
8,9.333333333333334,220.35174139896625,220.347929647753,340.3581428853311,340.35951616001967,0.0017298783879349244
8,10.666666666666666,227.99593173840074,227.994918598866,348.2388148034786,348.24109983208484,0.000444369348651108
8,12.0,233.87334434672078,233.875023977012,356.2118457868814,356.2152543261013,0.000718174289271456
8,13.333333333333334,238.424388371241,238.42860261045098,364.2544229383494,364.25915946054647,0.0017675057286892226
8,14.666666666666666,241.92036355224417,241.92685357232202,372.3344288838496,372.340672180524,0.00268263732694507
8,16.0,244.55421816235895,244.56267080242,380.4204971754293,380.4284037585572,0.003456226591458389
8,17.333333333333332,246.4848175441809,246.49494114280301,388.48893845624804,388.4986122997066,0.0041070208480431525
8,18.666666666666668,247.83529936016248,247.846779902423,396.51974948243776,396.5312928177906,0.004632112737168459
8,20.0,248.6982523307504,248.710776301231,404.49985302207136,404.51324810125936,0.005035556024890475
8,21.333333333333332,249.15513289593548,249.16841790169698,412.4122401131977,412.4276533068516,0.0053317374141492735
8,22.666666666666668,249.27395327345062,249.28770401567502,420.2498916561791,420.26724494075734,0.005516013025474997
8,24.0,249.11410369140776,249.128134078546,428.00640769899474,428.0258029628293,0.0056317955377194195
8,25.333333333333332,248.72756086288223,248.74167531333998,435.6812997751312,435.7028218029129,0.005674340835715164
8,26.666666666666668,248.1460663059422,248.160030280491,443.26862958903126,443.29222325155894,0.0056270038865657845
8,28.0,247.39657009646928,247.41017824399398,450.7581471694888,450.7838095114885,0.005500237549360687
8,29.333333333333332,246.50545705209578,246.51851827015503,458.1443097504924,458.17199785030897,0.005298270552211992
8,30.666666666666668,245.50089806483012,245.513247103775,465.4314878230305,465.46128326606515,0.00502988701854834
8,32.0,244.40248955855742,244.41397122013402,472.6171055304967,472.6488811258521,0.004697628993666214
8,33.333333333333336,243.22588035657867,243.236369698239,479.69853808413956,479.7322305718255,0.004312406764395149
8,34.666666666666664,241.989118226093,241.998504595466,486.67842192193643,486.71402791261664,0.003878688997960289
8,36.0,240.7016409458417,240.70979359571902,493.552532732539,493.5899587389152,0.003386920721237807
8,37.333333333333336,239.37209122904844,239.378899995304,500.31668446525134,500.3558057564468,0.0028443468725547483
8,38.666666666666664,238.0097838460907,238.01512544687,506.97338787076086,507.0140496424548,0.002244227449521574
8,40.0,236.62334238792366,236.627089832508,513.5266326801107,513.5686147462238,0.0015836921237522006
