gate_V,drain_V,electrons_m3_all_silicon_rms_percent,electrons_m3_silicon_oxide_interface_rms_percent,holes_m3_all_silicon_rms_percent,holes_m3_silicon_oxide_interface_rms_percent,conduction_band_eV_max_meV,valence_band_eV_max_meV
4,20.0,0.025476964350532462,0.06283599657323023,0.017938902963857084,0.0010798199019430208,1.45804747692857,1.4558038002405738
4,21.333333333333332,0.027811820638278032,0.07275412150427037,0.017646373884334307,0.0011377622827791116,1.7683873709071207,1.7662232270652112
4,22.666666666666668,0.03153251388262671,0.08430615111304021,0.017168824812289644,0.0011941427522391835,2.1064331429592187,2.1043724142337794
4,24.0,0.034115039028324676,0.08485807682825362,0.016627668624252055,0.0012489838861003129,2.455491813975641,2.453559633359248
4,25.333333333333332,0.03672699831684597,0.08682335043180088,0.018889735992838046,0.4521588980881384,2.8304936549226056,2.828716874734738
4,26.666666666666668,0.039661875398234084,0.08558372605405094,0.021889102264335675,0.5085086994463498,3.216976139484018,3.2153719822360927
4,28.0,0.04191294668402688,0.08982837294757046,0.027769257946116982,0.4699772627716428,3.613352525366764,3.611942183841421
4,29.333333333333332,0.04361627027496833,0.0935731345450289,0.038684439901669025,0.48356275210645566,4.0073319154103615,4.006137384649833
4,30.666666666666668,0.045897207249653654,0.09694057293763648,0.03787871315911567,0.4433735242016495,4.4272400778169185,4.4264861567420155
4,32.0,0.04521941737998352,0.10002349542737414,0.038351259035064596,0.46449288155145035,4.900716408450023,4.900225628084343
4,33.333333333333336,0.048764236596453736,0.10316474231539002,0.038423150680782975,0.3982525431678801,5.377684389451076,5.377473102345931
4,34.666666666666664,0.05678222597706082,0.10802443955880738,0.04281015901034763,0.34203446946659843,5.850130248830965,5.8502149858874475
4,36.0,0.059991341976606084,0.11152208075437942,0.04710672161756927,0.390537429487245,6.316289004370645,6.316684690979457
4,37.333333333333336,0.06718578166071944,0.11523590290960004,0.06044475587480564,0.3702148560462393,6.786361814352659,6.787081151532703
4,38.666666666666664,0.07118666503959024,0.11921391206764625,0.07850266496237177,0.34189056483434155,7.25830905051339,7.259586089666925
4,40.0,0.07684987764275522,0.12349098139308519,0.07856047359979258,0.31932872349217867,7.80134148731193,7.802973406008107
8,0.0,0.00026429153495211976,0.0008208809404052058,0.00035695989381137345,8.974683319844973e-06,0.33198159203168265,0.15223513652898313
8,1.3333333333333333,0.002942049015384646,0.001053473669202381,0.004415290029495331,2.0133490409926462e-05,0.3335069616017261,0.14900563594583138
8,2.6666666666666665,0.006500674472424979,0.0018336409244194317,0.009057969301734817,0.0001044738761872648,0.3367789574495461,0.18463511928157317
8,4.0,0.008066385214975318,0.002982199955480542,0.010788509821689295,0.00022453340510401653,0.3408596449183676,0.3058365255501627
8,5.333333333333333,0.007998133791591021,0.00433861568019511,0.012992716641804498,0.00036035751582168116,0.43735059719240965,0.43734259183247914
8,6.666666666666667,0.007236373906691968,0.005911453937544542,0.015817508398267538,0.0005028317806215809,0.6105241033522724,0.6104877118371377
8,8.0,0.007368865841117981,0.00789056471555766,0.016467662293208726,0.0006470098940903549,0.8377950432603143,0.8376746841936011
8,9.333333333333334,0.007587365596088392,0.01064598547120173,0.01748837161245445,0.0007900606875752311,1.1306731143152504,1.1304187390663856
8,10.666666666666666,0.010743206506360297,0.014521768211456718,0.01972153224785984,0.0009300667095239635,1.497150524962798,1.4967513171848523
8,12.0,0.014897376653884232,0.019672744535700348,0.021624400543506648,0.001065715377572641,1.9361949826599556,1.9355348286334007
8,13.333333333333334,0.01853558328392443,0.02624463105915354,0.024818562099587937,0.0011968430478089243,2.460636064892441,2.459752640422863
8,14.666666666666666,0.025741018511214117,0.034348294524292666,0.030538056851446754,0.0013231346511821005,3.045409203510374,3.0441656675019857
8,16.0,0.034635406272109585,0.04408005745139141,0.03665480854253784,0.0014443104387794332,3.6859836943090585,3.684542976754912
8,17.333333333333332,0.04009398275897297,0.056047678697814386,0.05306921863603157,0.0015602800027393377,4.4125019480976135,4.410641893779044
8,18.666666666666668,0.05224563515106377,0.0694855447870056,0.05673010887327509,0.0016710531140790967,5.213589119360762,5.211526488144713
8,20.0,0.057337965911616315,0.08562878503851064,0.05333190238255231,0.0017766383304384115,6.07993273816021,6.077410662580718
8,21.333333333333332,0.07119598358564307,0.10359389867517174,0.0547551520337436,0.0018771605891259775,6.962984489419455,6.959964193454127
