node_id,donors_cm3,acceptors_cm3
328,5000000000001855,1.3033659490342582e+17
329,5000000000001855,2.0339874432354877e+17
330,5000000000007362,1620354389137172
331,5000000000007362,3996650239894243.5
332,5000000000028536,1350338618623381.2
333,5000000000028536,3330648653306870
334,5000000000007362,9133731431167108
335,5000000000007362,19340437411495856
336,5000000000028536,7611686904002974
337,5000000000028536,16117547934509530
338,5000000000107513,1046731159699756.8
339,5000000000055572,2959607571365363
340,5000000000107513,2581792210743759
341,5000000000206598,2210540338098661
342,5000000000394324,1857400049602721.8
343,5000000000055572,6763729392346145
344,5000000000107513,5900290305272417
345,5000000000055572,14322020082021416
346,5000000000107513,12493710398510838
347,5000000000206598,5051851063777043
348,5000000000394324,4244803071323209
349,5000000000206598,10697162495689224
350,5000000000394324,8988259480119421
351,5000000000007362,37944628676127328
352,5000000000007362,68976361704646416
353,5000000000028536,31621537741495468
354,5000000000028536,57482144403926440
355,5000000000007362,1.1617594643228691e+17
356,5000000000007362,1.8130013019318253e+17
357,5000000000028536,96816392805387552
358,5000000000028536,1.5108828599629027e+17
359,5000000000107513,24511813862946912
360,5000000000107513,44557972973690216
361,5000000000394324,17634356512282824
362,5000000000394324,32056019406645816
363,5000000000107513,75048386916789984
364,5000000000107513,1.1711789519814824e+17
365,5000000000394324,53991516823769984
366,5000000000394324,84257278120666336
367,5000000000000008,2.9127949233977841e+18
368,5000000000000008,3.0107856312342528e+18
369,5000000000000008,2.640284734305941e+18
370,5000000000000008,4.1584877496984607e+18
371,5000000000000008,4.2983853974349839e+18
372,5000000000000008,3.7694352029834578e+18
373,5000000000000008,2.2499973050934072e+18
374,5000000000000008,1.8147441821195057e+18
375,5000000000000008,3.2122365206442107e+18
376,5000000000000008,2.5908420086702828e+18
377,5000000000000008,4.4502858352413046e+18
378,5000000000000008,4.6000000000000133e+18
379,5000000000000008,4.0339337519783731e+18
380,5000000000000008,4.4502858352413046e+18
381,5000000000000008,4.6000000000000133e+18
382,5000000000000008,4.0339337519783731e+18
383,5000000000000008,3.4376368400518492e+18
384,5000000000000008,2.7726395234348227e+18
385,5000000000000008,3.4376368400518492e+18
386,5000000000000008,2.7726395234348227e+18
387,5000000000000008,1.4015144855341548e+18
388,5000000000000008,1.0557962923894723e+18
389,5000000000000008,2.0008895141577943e+18
390,5000000000000008,1.5073206537167037e+18
391,5000000000000008,7.9654065678526477e+17
392,5000000000000008,6.2058409686137254e+17
393,5000000000000008,1.1371911344566394e+18
394,5000000000000008,8.8598457231768192e+17
395,5000000000000008,2.1412904879628347e+18
396,5000000000000008,1.6130882566357251e+18
397,5000000000000008,2.1412904879628347e+18
398,5000000000000008,1.6130882566357251e+18
399,5000000000000008,1.2169870160135355e+18
400,5000000000000008,9.4815347062489498e+17
401,5000000000000008,1.2169870160135355e+18
402,5000000000000008,9.4815347062489498e+17
403,5000000000000008,4.4502858352413046e+18
404,5000000000000008,4.6000000000000133e+18
405,5000000000000008,4.0339337519783731e+18
406,5000000000000008,4.4502858352413046e+18
407,5000000000000008,4.6000000000000133e+18
408,5000000000000008,4.0339337519783731e+18
409,5000000000000008,3.4376368400518492e+18
410,5000000000000008,2.7726395234348227e+18
411,5000000000000008,3.4376368400518492e+18
412,5000000000000008,2.7726395234348227e+18
413,5000000000000008,4.4502858352413046e+18
414,5000000000000008,4.6000000000000133e+18
415,5000000000000008,4.0339337519783731e+18
416,5000000000000008,4.4502858352413046e+18
417,5000000000000008,4.6000000000000133e+18
418,5000000000000008,4.0339337519783731e+18
419,5000000000000008,3.4376368400518492e+18
420,5000000000000008,2.7726395234348227e+18
421,5000000000000008,3.4376368400518492e+18
422,5000000000000008,2.7726395234348227e+18
423,5000000000000008,2.1412904879628347e+18
424,5000000000000008,1.6130882566357251e+18
425,5000000000000008,2.1412904879628347e+18
426,5000000000000008,1.6130882566357251e+18
427,5000000000000008,1.2169870160135355e+18
428,5000000000000008,9.4815347062489498e+17
429,5000000000000008,1.2169870160135355e+18
430,5000000000000008,9.4815347062489498e+17
431,5000000000000008,2.1412904879628347e+18
432,5000000000000008,1.6130882566357251e+18
433,5000000000000008,2.1412904879628347e+18
434,5000000000000008,1.6130882566357251e+18
435,5000000000000008,1.2169870160135355e+18
436,5000000000000008,9.4815347062489498e+17
437,5000000000000008,1.2169870160135355e+18
438,5000000000000008,9.4815347062489498e+17
439,5000000000000008,5.1185001733342016e+17
440,5000000000000115,4.5042501602300557e+17
441,5000000000000008,7.307490169205065e+17
442,5000000000000115,6.4305485300160678e+17
443,5000000000000470,4.1861551381754835e+17
444,5000000000001855,3.9401244806397702e+17
445,5000000000000470,5.9764162319169805e+17
446,5000000000001855,5.625167516398439e+17
447,5000000000000008,7.8202514828945933e+17
448,5000000000000115,6.8817754814926234e+17
449,5000000000000008,7.8202514828945933e+17
450,5000000000000115,6.8817754814926234e+17
451,5000000000000470,6.3957770476382733e+17
452,5000000000001855,6.0198814631358989e+17
453,5000000000000470,6.3957770476382733e+17
